network,station,latitude,longitude,elevation_m,distance_km,azimuth_deg,backazimuth_deg
AZ,RRSP,33.651501,-116.739403,1610.0,6.2171917493729545,116.27939069036016,296.31270368515175
AZ,RDM,33.630001,-116.847801,1365.0,6.817795960218221,221.09644603777437,41.06967934891344
PB,B081,33.711166,-116.714165,1467.0,8.804786870317024,63.94880093709688,243.99614084936002
AZ,KNW,33.7141,-116.7119,1507.0,9.138361220318183,62.69198381516548,242.74058211154755
PB,B093,33.59369,-116.7641,1229.6,9.737046325875847,160.27750455900315,340.29711263926856
CI,IDY,33.74642,-116.71536,1632.0,11.011999789538322,45.07082223409278,225.11752075703362
CI,POB2,33.68708,-116.92382,999.0,11.589401253151651,275.9380349487927,95.86908969681582
AZ,TMSP,33.619202,-116.680901,2077.0,12.696180718971434,119.90802286489841,299.9737369068811
AZ,CRY,33.5654,-116.7373,1128.0,13.590664006217018,154.85211608297803,334.88655592140367
CI,SLR,33.83359,-116.79737,1567.0,17.44374322948794,0.6476151810009649,180.64879870007235
CI,HMT2,33.708115,-117.001524,593.0,19.059812941308156,280.71438144583095,100.60231228173551
CI,ANG,33.503277,-116.808391,1050.44,19.212241348406547,182.46453234514016,2.4596134530280835
CI,CSH,33.6442,-116.5956,1637.0,19.244820089293878,100.61606520957088,280.7290804097512
CI,DGR,33.65001,-117.00947,650.0,19.69190353589873,261.53172256452933,81.41533409446056
CI,DNR,33.56667,-116.63056,1274.0,19.841748254309273,127.76118239814112,307.85472525597953
PB,B082,33.598183,-116.596008,1374.8,20.77391582118399,114.60517502678874,294.7178960818177
PB,B082A,33.598183,-116.596008,1374.8,20.77391582118399,114.60517502678874,294.7178960818177
CI,MSJ,33.80801,-116.96789,466.0,21.3725212441063,313.1541820540542,133.06064860483662
AZ,SND,33.5519,-116.6129,1358.0,22.143744856678303,128.50365340582997,308.606954683548
CI,BAC,33.6122,-117.0406,551.0,23.470304463616422,252.42414486397797,72.29056689237784
AZ,BZN,33.4915,-116.667,1301.0,23.907701036600905,148.99977123686074,329.07306475292296
PB,B946,33.5373,-116.592499,1429.0,24.634958469086573,128.6964991417315,308.8110724287859
CI,CZN,33.91375,-116.78409,538.0,26.37262091622638,3.097586728941353,183.10615815462054
YN,JORD,33.4722,-116.645,1235.0,26.80276539299319,147.601252184483,327.68669354487014
PB,B087,33.495499,-116.602669,1139.0,27.132162362679523,137.61223507593718,317.72111959572976
AZ,FRD,33.4947,-116.6022,1164.0,27.227064174953355,137.66983511114898,317.7789779315781
PB,B086,33.5575,-116.531,1392.0,28.187500075129073,117.80410300434842,297.9527549277692
PB,B086A,33.557499,-116.530998,1392.0,28.187716120269844,117.80412519794035,297.95277822669095
CI,PSD,33.82393,-116.55026,144.0,28.30739571332216,54.59734595412303,234.73581702150832
CI,BBS,33.92139,-116.98058,785.0,31.9375396124772,328.37966566035266,148.27893435111866
CI,PGA,33.4914,-117.0635,351.502533,31.95886465725879,230.14548267764445,49.99944886108318
PY,BPH09,33.612598,-116.4599,1295.0,32.287357603585995,102.55309151539228,282.7412431606482
AZ,PFO,33.611698,-116.459396,1259.0,32.355111663539034,102.70724420558274,282.8956728647349
PY,BPH13,33.6092,-116.459999,1300.0,32.36362957369801,103.20750356777263,283.39559198513405
PY,BPH12,33.6056,-116.46,1251.0,32.458369732823684,103.89322383352625,284.08130282105424
PY,BPH08,33.6106,-116.457901,1300.0,32.51765233257156,102.86185694112355,283.0511111583661
PB,B084,33.611568,-116.456367,1271.0,32.632375915467605,102.62176505076128,282.8118715572733
PY,BPH04,33.6106,-116.456001,1287.0,32.68944947458123,102.7920629265629,282.98236979474547
PY,BPH05,33.612499,-116.4552,1302.0,32.71531883431064,102.40335770353019,282.59411309539945
PY,BPH01,33.611,-116.455498,1292.0,32.725013742703545,102.69800986539605,282.8885964083561
II,XPFO,33.6107,-116.4555,1280.0,32.732271028773916,102.75486025969794,282.94544494514315
PY,PFOIX,33.6106,-116.4554,1280.0,32.74380150047287,102.77013730954891,282.96077714785974
PY,BPH03,33.6102,-116.4555,1285.0,32.7447394416412,102.8494325992936,283.04001603564654
PY,BPH02,33.6106,-116.455,1289.0,32.77997850382388,102.7555845479589,282.9464459970081
PY,BPH07,33.608101,-116.455299,1275.0,32.81619711525593,103.23808589771723,283.42877544612844
II,PFO,33.6107,-116.4544,1280.0,32.83176877668276,102.71494921029884,282.9061433260789
PY,TPFO,33.606,-116.4544,1275.0,32.95212198892146,103.59850789640417,283.78969023317194
PY,BPH10,33.6125,-116.452,1300.0,33.00517904294426,102.29075512226883,282.48328344680306
PY,BPH06,33.6105,-116.4525,1294.0,33.00860153721597,102.68411700298623,282.8763632672265
PY,BPH11,33.6055,-116.4519,1300.0,33.19067673897497,103.59600738950874,283.78857344781613
CI,VLY,33.736134,-117.156523,445.76,33.75469931001442,281.43164982631197,101.23352481762659
CI,DEV,33.93597,-116.57794,337.0,35.358615728119545,35.403164759358326,215.526437806255
CI,PLM,33.35361,-116.86265,1691.0,36.2720315586897,189.3260089447537,9.291140224013134
CI,MOR,33.50388,-117.13993,331.0,36.938793484925306,238.9081922314134,58.719849510873956
PB,B088,33.37495,-116.62052,1403.9,37.33410888936072,153.50545153532678,333.6043043992886
CI,MUR,33.59999,-117.19543,562.0,37.695604593324845,257.1284664888183,76.9091419178026
CI,PALA,33.38905,-117.03182,552.0,38.48342574690035,214.17200019794538,34.04366315466592
AZ,TRO,33.5234,-116.4257,2628.0,38.61910777052461,115.95108738473104,296.15794511658635
CI,PMD,33.64785,-116.37769,296.0,39.24977216219697,94.49982519424668,274.73363263030336
CI,SNO,34.03515,-116.80778,2339.0,39.807279442475846,358.8993697026008,178.89475686049525
AZ,SMER,33.457699,-117.170799,355.7,42.14972332853743,234.98056392394514,54.77526738940222
AZ,LVA2,33.3516,-116.5615,1435.0,42.26328357537002,148.38732723687352,328.5187372747945
CI,MSC,34.03852,-116.64795,938.0,42.551213000077205,19.201432074893884,199.2858653132188
CI,PER,33.86164,-117.20529,468.0,42.842352669741416,298.7821659929614,118.5566084028305
CI,MGE,33.81841,-116.36874,68.0,42.91145152037602,68.334868712314,248.5741706819608
CI,MNO,33.94738,-117.17278,564.0,45.807556717745385,311.1232133258623,130.9154940213922
CI,WWC,33.94068,-116.40876,619.0,46.5688303593671,50.86874250365735,231.08615882169403
CI,FHO,34.09355,-116.93588,1614.0,47.96676224957409,344.78842700442135,164.7123909492042
CI,ESI2,33.67493,-117.32592,388.0,48.81746692259624,269.9633070409692,89.67141070304389
CI,LKH,33.23598,-116.75876,847.0,48.987338280203765,175.55437518198258,355.5768352589771
CI,CFT,34.03547,-117.11241,682.0,49.24785106800856,324.07318406753086,143.89885883465985
